date,domain,status,status_details,pages
2021-12-09,domain2,Excluded,Excluded by ‘noindex’ tag,260
2021-12-09,domain2,Valid,"Indexed, not submitted in sitemap",3631
2021-12-09,domain2,Warning,"Indexed, though blocked by robots.txt",27
2021-12-09,domain2,Excluded,Not found (404),167
2021-12-09,domain2,Warning,Page indexed without content,0
2021-12-09,domain2,Excluded,Page with redirect,10269
2021-12-09,domain2,Error,Server error (5xx),13
2021-12-09,domain2,Excluded,Soft 404,664
2021-12-09,domain2,Valid,Submitted and indexed,11158
2021-12-09,domain2,Error,Submitted URL not found (404),37
2021-12-09,domain2,Error,Submitted URL seems to be a Soft 404,1
2021-12-10,domain2,Excluded,Alternate page with proper canonical tag,2171
2021-12-10,domain2,Excluded,Blocked by robots.txt,5
2021-12-10,domain2,Excluded,Blocked due to access forbidden (403),1
2021-12-10,domain2,Excluded,Blocked due to other 4xx issue,1
2021-12-10,domain2,Excluded,Crawled - currently not indexed,4396
2021-12-10,domain2,Excluded,Discovered - currently not indexed,1934
2021-12-10,domain2,Excluded,Duplicate without user-selected canonical,788
2021-12-10,domain2,Excluded,"Duplicate, Google chose different canonical than user",1387
2021-12-10,domain2,Excluded,"Duplicate, submitted URL not selected as canonical",25
2021-12-10,domain2,Excluded,Excluded by ‘noindex’ tag,260
2021-12-10,domain2,Valid,"Indexed, not submitted in sitemap",3631
2021-12-10,domain2,Warning,"Indexed, though blocked by robots.txt",27
2021-12-10,domain2,Excluded,,167
2021-12-10,domain2,Warning,Page indexed without content,0
2021-12-10,domain2,Excluded,Page with redirect,10269
2021-12-10,domain2,Error,Server error (5xx),13
2021-12-10,domain2,Excluded,Soft 404,664
,domain2,Valid,Submitted and indexed,11158
2021-12-10,domain2,Error,Submitted URL not found (404),37
2021-12-10,domain2,Error,Submitted URL seems to be a Soft 404,1
2021-12-11,domain2,Excluded,Alternate page with proper canonical tag,2171
2021-12-11,domain2,Excluded,Blocked by robots.txt,5
